id;link;pub_date;title;abstract;authors;pdf_link;category;comments;tags
2404.15264v1;http://arxiv.org/abs/2404.15264v1;2024-04-23;TalkingGaussian: Structure-Persistent 3D Talking Head Synthesis via  Gaussian Splatting;"Radiance fields have demonstrated impressive performance in synthesizing
lifelike 3D talking heads. However, due to the difficulty in fitting steep
appearance changes, the prevailing paradigm that presents facial motions by
directly modifying point appearance may lead to distortions in dynamic regions.
To tackle this challenge, we introduce TalkingGaussian, a deformation-based
radiance fields framework for high-fidelity talking head synthesis. Leveraging
the point-based Gaussian Splatting, facial motions can be represented in our
method by applying smooth and continuous deformations to persistent Gaussian
primitives, without requiring to learn the difficult appearance change like
previous methods. Due to this simplification, precise facial motions can be
synthesized while keeping a highly intact facial feature. Under such a
deformation paradigm, we further identify a face-mouth motion inconsistency
that would affect the learning of detailed speaking motions. To address this
conflict, we decompose the model into two branches separately for the face and
inside mouth areas, therefore simplifying the learning tasks to help
reconstruct more accurate motion and structure of the mouth region. Extensive
experiments demonstrate that our method renders high-quality lip-synchronized
talking head videos, with better facial fidelity and higher efficiency compared
with previous methods.";Jiahe Li<author:sep>Jiawei Zhang<author:sep>Xiao Bai<author:sep>Jin Zheng<author:sep>Xin Ning<author:sep>Jun Zhou<author:sep>Lin Gu;http://arxiv.org/pdf/2404.15264v1;cs.CV;Project page: https://fictionarry.github.io/TalkingGaussian/;gaussian splatting
2404.15259v1;http://arxiv.org/abs/2404.15259v1;2024-04-23;FlowMap: High-Quality Camera Poses, Intrinsics, and Depth via Gradient  Descent;"This paper introduces FlowMap, an end-to-end differentiable method that
solves for precise camera poses, camera intrinsics, and per-frame dense depth
of a video sequence. Our method performs per-video gradient-descent
minimization of a simple least-squares objective that compares the optical flow
induced by depth, intrinsics, and poses against correspondences obtained via
off-the-shelf optical flow and point tracking. Alongside the use of point
tracks to encourage long-term geometric consistency, we introduce
differentiable re-parameterizations of depth, intrinsics, and pose that are
amenable to first-order optimization. We empirically show that camera
parameters and dense depth recovered by our method enable photo-realistic novel
view synthesis on 360-degree trajectories using Gaussian Splatting. Our method
not only far outperforms prior gradient-descent based bundle adjustment
methods, but surprisingly performs on par with COLMAP, the state-of-the-art SfM
method, on the downstream task of 360-degree novel view synthesis (even though
our method is purely gradient-descent based, fully differentiable, and presents
a complete departure from conventional SfM).";Cameron Smith<author:sep>David Charatan<author:sep>Ayush Tewari<author:sep>Vincent Sitzmann;http://arxiv.org/pdf/2404.15259v1;cs.CV;Project website: https://cameronosmith.github.io/flowmap/;gaussian splatting
2404.13896v2;http://arxiv.org/abs/2404.13896v2;2024-04-22;CT-NeRF: Incremental Optimizing Neural Radiance Field and Poses with  Complex Trajectory;"Neural radiance field (NeRF) has achieved impressive results in high-quality
3D scene reconstruction. However, NeRF heavily relies on precise camera poses.
While recent works like BARF have introduced camera pose optimization within
NeRF, their applicability is limited to simple trajectory scenes. Existing
methods struggle while tackling complex trajectories involving large rotations.
To address this limitation, we propose CT-NeRF, an incremental reconstruction
optimization pipeline using only RGB images without pose and depth input. In
this pipeline, we first propose a local-global bundle adjustment under a pose
graph connecting neighboring frames to enforce the consistency between poses to
escape the local minima caused by only pose consistency with the scene
structure. Further, we instantiate the consistency between poses as a
reprojected geometric image distance constraint resulting from pixel-level
correspondences between input image pairs. Through the incremental
reconstruction, CT-NeRF enables the recovery of both camera poses and scene
structure and is capable of handling scenes with complex trajectories. We
evaluate the performance of CT-NeRF on two real-world datasets, NeRFBuster and
Free-Dataset, which feature complex trajectories. Results show CT-NeRF
outperforms existing methods in novel view synthesis and pose estimation
accuracy.";Yunlong Ran<author:sep>Yanxu Li<author:sep>Qi Ye<author:sep>Yuchi Huo<author:sep>Zechun Bai<author:sep>Jiahao Sun<author:sep>Jiming Chen;http://arxiv.org/pdf/2404.13896v2;cs.CV;;nerf
2404.14037v1;http://arxiv.org/abs/2404.14037v1;2024-04-22;GaussianTalker: Speaker-specific Talking Head Synthesis via 3D Gaussian  Splatting;"Recent works on audio-driven talking head synthesis using Neural Radiance
Fields (NeRF) have achieved impressive results. However, due to inadequate pose
and expression control caused by NeRF implicit representation, these methods
still have some limitations, such as unsynchronized or unnatural lip movements,
and visual jitter and artifacts. In this paper, we propose GaussianTalker, a
novel method for audio-driven talking head synthesis based on 3D Gaussian
Splatting. With the explicit representation property of 3D Gaussians, intuitive
control of the facial motion is achieved by binding Gaussians to 3D facial
models. GaussianTalker consists of two modules, Speaker-specific Motion
Translator and Dynamic Gaussian Renderer. Speaker-specific Motion Translator
achieves accurate lip movements specific to the target speaker through
universalized audio feature extraction and customized lip motion generation.
Dynamic Gaussian Renderer introduces Speaker-specific BlendShapes to enhance
facial detail representation via a latent pose, delivering stable and realistic
rendered videos. Extensive experimental results suggest that GaussianTalker
outperforms existing state-of-the-art methods in talking head synthesis,
delivering precise lip synchronization and exceptional visual quality. Our
method achieves rendering speeds of 130 FPS on NVIDIA RTX4090 GPU,
significantly exceeding the threshold for real-time rendering performance, and
can potentially be deployed on other hardware platforms.";Hongyun Yu<author:sep>Zhan Qu<author:sep>Qihang Yu<author:sep>Jianchuan Chen<author:sep>Zhonghua Jiang<author:sep>Zhiwen Chen<author:sep>Shengyu Zhang<author:sep>Jimin Xu<author:sep>Fei Wu<author:sep>Chengfei Lv<author:sep>Gang Yu;http://arxiv.org/pdf/2404.14037v1;cs.CV;;nerf
2404.13921v1;http://arxiv.org/abs/2404.13921v1;2024-04-22;NeRF-DetS: Enhancing Multi-View 3D Object Detection with  Sampling-adaptive Network of Continuous NeRF-based Representation;"As a preliminary work, NeRF-Det unifies the tasks of novel view synthesis and
3D perception, demonstrating that perceptual tasks can benefit from novel view
synthesis methods like NeRF, significantly improving the performance of indoor
multi-view 3D object detection. Using the geometry MLP of NeRF to direct the
attention of detection head to crucial parts and incorporating self-supervised
loss from novel view rendering contribute to the achieved improvement. To
better leverage the notable advantages of the continuous representation through
neural rendering in space, we introduce a novel 3D perception network
structure, NeRF-DetS. The key component of NeRF-DetS is the Multi-level
Sampling-Adaptive Network, making the sampling process adaptively from coarse
to fine. Also, we propose a superior multi-view information fusion method,
known as Multi-head Weighted Fusion. This fusion approach efficiently addresses
the challenge of losing multi-view information when using arithmetic mean,
while keeping low computational costs. NeRF-DetS outperforms competitive
NeRF-Det on the ScanNetV2 dataset, by achieving +5.02% and +5.92% improvement
in mAP@.25 and mAP@.50, respectively.";Chi Huang<author:sep>Xinyang Li<author:sep>Shengchuan Zhang<author:sep>Liujuan Cao<author:sep>Rongrong Ji;http://arxiv.org/pdf/2404.13921v1;cs.CV;;nerf
2404.14410v1;http://arxiv.org/abs/2404.14410v1;2024-04-22;Guess The Unseen: Dynamic 3D Scene Reconstruction from Partial 2D  Glimpses;"In this paper, we present a method to reconstruct the world and multiple
dynamic humans in 3D from a monocular video input. As a key idea, we represent
both the world and multiple humans via the recently emerging 3D Gaussian
Splatting (3D-GS) representation, enabling to conveniently and efficiently
compose and render them together. In particular, we address the scenarios with
severely limited and sparse observations in 3D human reconstruction, a common
challenge encountered in the real world. To tackle this challenge, we introduce
a novel approach to optimize the 3D-GS representation in a canonical space by
fusing the sparse cues in the common space, where we leverage a pre-trained 2D
diffusion model to synthesize unseen views while keeping the consistency with
the observed 2D appearances. We demonstrate our method can reconstruct
high-quality animatable 3D humans in various challenging examples, in the
presence of occlusion, image crops, few-shot, and extremely sparse
observations. After reconstruction, our method is capable of not only rendering
the scene in any novel views at arbitrary time instances, but also editing the
3D scene by removing individual humans or applying different motions for each
human. Through various experiments, we demonstrate the quality and efficiency
of our methods over alternative existing approaches.";Inhee Lee<author:sep>Byungjun Kim<author:sep>Hanbyul Joo;http://arxiv.org/pdf/2404.14410v1;cs.CV;The project page is available at https://snuvclab.github.io/gtu/;
2404.14249v1;http://arxiv.org/abs/2404.14249v1;2024-04-22;CLIP-GS: CLIP-Informed Gaussian Splatting for Real-time and  View-consistent 3D Semantic Understanding;"The recent 3D Gaussian Splatting (GS) exhibits high-quality and real-time
synthesis of novel views in 3D scenes. Currently, it primarily focuses on
geometry and appearance modeling, while lacking the semantic understanding of
scenes. To bridge this gap, we present CLIP-GS, which integrates semantics from
Contrastive Language-Image Pre-Training (CLIP) into Gaussian Splatting to
efficiently comprehend 3D environments without annotated semantic data. In
specific, rather than straightforwardly learning and rendering high-dimensional
semantic features of 3D Gaussians, which significantly diminishes the
efficiency, we propose a Semantic Attribute Compactness (SAC) approach. SAC
exploits the inherent unified semantics within objects to learn compact yet
effective semantic representations of 3D Gaussians, enabling highly efficient
rendering (>100 FPS). Additionally, to address the semantic ambiguity, caused
by utilizing view-inconsistent 2D CLIP semantics to supervise Gaussians, we
introduce a 3D Coherent Self-training (3DCS) strategy, resorting to the
multi-view consistency originated from the 3D model. 3DCS imposes cross-view
semantic consistency constraints by leveraging refined, self-predicted
pseudo-labels derived from the trained 3D Gaussian model, thereby enhancing
precise and view-consistent segmentation results. Extensive experiments
demonstrate that our method remarkably outperforms existing state-of-the-art
approaches, achieving improvements of 17.29% and 20.81% in mIoU metric on
Replica and ScanNet datasets, respectively, while maintaining real-time
rendering speed. Furthermore, our approach exhibits superior performance even
with sparse input data, verifying the robustness of our method.";Guibiao Liao<author:sep>Jiankun Li<author:sep>Zhenyu Bao<author:sep>Xiaoqing Ye<author:sep>Jingdong Wang<author:sep>Qing Li<author:sep>Kanglin Liu;http://arxiv.org/pdf/2404.14249v1;cs.CV;https://github.com/gbliao/CLIP-GS;gaussian splatting
2404.13816v1;http://arxiv.org/abs/2404.13816v1;2024-04-22;Neural Radiance Field in Autonomous Driving: A Survey;"Neural Radiance Field (NeRF) has garnered significant attention from both
academia and industry due to its intrinsic advantages, particularly its
implicit representation and novel view synthesis capabilities. With the rapid
advancements in deep learning, a multitude of methods have emerged to explore
the potential applications of NeRF in the domain of Autonomous Driving (AD).
However, a conspicuous void is apparent within the current literature. To
bridge this gap, this paper conducts a comprehensive survey of NeRF's
applications in the context of AD. Our survey is structured to categorize
NeRF's applications in Autonomous Driving (AD), specifically encompassing
perception, 3D reconstruction, simultaneous localization and mapping (SLAM),
and simulation. We delve into in-depth analysis and summarize the findings for
each application category, and conclude by providing insights and discussions
on future directions in this field. We hope this paper serves as a
comprehensive reference for researchers in this domain. To the best of our
knowledge, this is the first survey specifically focused on the applications of
NeRF in the Autonomous Driving domain.";Lei He<author:sep>Leheng Li<author:sep>Wenchao Sun<author:sep>Zeyu Han<author:sep>Yichen Liu<author:sep>Sifa Zheng<author:sep>Jianqiang Wang<author:sep>Keqiang Li;http://arxiv.org/pdf/2404.13816v1;cs.CV;;nerf
2404.13711v1;http://arxiv.org/abs/2404.13711v1;2024-04-21;ArtNeRF: A Stylized Neural Field for 3D-Aware Cartoonized Face Synthesis;"Recent advances in generative visual models and neural radiance fields have
greatly boosted 3D-aware image synthesis and stylization tasks. However,
previous NeRF-based work is limited to single scene stylization, training a
model to generate 3D-aware cartoon faces with arbitrary styles remains
unsolved. We propose ArtNeRF, a novel face stylization framework derived from
3D-aware GAN to tackle this problem. In this framework, we utilize an
expressive generator to synthesize stylized faces and a triple-branch
discriminator module to improve the visual quality and style consistency of the
generated faces. Specifically, a style encoder based on contrastive learning is
leveraged to extract robust low-dimensional embeddings of style images,
empowering the generator with the knowledge of various styles. To smooth the
training process of cross-domain transfer learning, we propose an adaptive
style blending module which helps inject style information and allows users to
freely tune the level of stylization. We further introduce a neural rendering
module to achieve efficient real-time rendering of images with higher
resolutions. Extensive experiments demonstrate that ArtNeRF is versatile in
generating high-quality 3D-aware cartoon faces with arbitrary styles.";Zichen Tang<author:sep>Hongyu Yang;http://arxiv.org/pdf/2404.13711v1;cs.CV;;nerf
2404.13541v1;http://arxiv.org/abs/2404.13541v1;2024-04-21;Generalizable Novel-View Synthesis using a Stereo Camera;"In this paper, we propose the first generalizable view synthesis approach
that specifically targets multi-view stereo-camera images. Since recent stereo
matching has demonstrated accurate geometry prediction, we introduce stereo
matching into novel-view synthesis for high-quality geometry reconstruction. To
this end, this paper proposes a novel framework, dubbed StereoNeRF, which
integrates stereo matching into a NeRF-based generalizable view synthesis
approach. StereoNeRF is equipped with three key components to effectively
exploit stereo matching in novel-view synthesis: a stereo feature extractor, a
depth-guided plane-sweeping, and a stereo depth loss. Moreover, we propose the
StereoNVS dataset, the first multi-view dataset of stereo-camera images,
encompassing a wide variety of both real and synthetic scenes. Our experimental
results demonstrate that StereoNeRF surpasses previous approaches in
generalizable view synthesis.";Haechan Lee<author:sep>Wonjoon Jin<author:sep>Seung-Hwan Baek<author:sep>Sunghyun Cho;http://arxiv.org/pdf/2404.13541v1;cs.CV;"Accepted to CVPR 2024. Project page URL:
  https://jinwonjoon.github.io/stereonerf/";nerf
